time_s,E,C,Psi,H_e,H_c,M_r
1.49,0.5832206857216445,0.6787954922487038,0.5311311629336963,-0.1129882468996028,-0.33185753163475523,0.31600611781679
1.5,0.6274502037586176,0.6744910105306454,0.5313033350263621,-0.11253602659942946,-0.3328273153563745,0.3191199149698458
1.51,0.6352073127913397,0.7175983120472552,0.5314750766887961,-0.11328905646014141,-0.3357302836781805,0.3236519484427606
1.52,0.6363804151294945,0.6956780352392182,0.5316463889970742,-0.11394504301952521,-0.33733442749030973,0.3228302789731693
1.53,0.6000246408720675,0.6854381737135893,0.5318172730245815,-0.11696530438716363,-0.3388203206688269,0.32059899747819
1.54,0.6381218327777414,0.7066652907539406,0.53198772984202,-0.11607111406318918,-0.3414533938007958,0.3254100046191896
1.55,0.563404242234141,0.6598980450624248,0.532157760517415,-0.1148517933693362,-0.34422621809266457,0.31720540865658875
1.56,0.5535047718863109,0.7180016077694351,0.5323273661161215,-0.11525026241628983,-0.3453920050784508,0.3204142700006437
1.57,0.5855249020470725,0.7514858365793028,0.5324965477008312,-0.11562013459804649,-0.34733876132915426,0.3256983498000493
1.58,0.6341276262784886,0.6727543757093986,0.5326653063315792,-0.11820505372038015,-0.34915967783964513,0.3254064592106224
1.59,0.6278444371841944,0.6480182756107125,0.5328336430657502,-0.11945331689617647,-0.3525783605643631,0.32448642921643744
1.6,0.62463801571213,0.6525942730948189,0.5330015589580859,-0.12114643399567782,-0.35405449329561367,0.32542469902506516
1.61,0.6266623827702684,0.7098644074467766,0.5331690550606907,-0.12281498946006131,-0.3541945287153827,0.33002033400286346
1.62,0.5860541115176333,0.658436706037895,0.5333361324230389,-0.12412512241420039,-0.3568920184315685,0.32460617274292863
1.6300000000000001,0.6349374436473149,0.7313017574773879,0.5335027920919813,-0.12488927633291833,-0.3596978523629757,0.3342354672890782
1.6400000000000001,0.5856704541472174,0.6849271517751705,0.5336690351117513,-0.12472200030866722,-0.36399107404646586,0.32835144714109915
1.6500000000000001,0.5755447081785592,0.7254792406174257,0.5338348625239719,-0.12461850374444586,-0.36582996095406267,0.3306419072783893
1.6600000000000001,0.6239352060188214,0.6695217979940232,0.534000275367662,-0.12535508194870318,-0.36937325648279706,0.3318192234693891
1.67,0.5909847930260347,0.694043738050635,0.5341652746792429,-0.12659163503392912,-0.3709046844301163,0.33173489146484564
1.68,0.5725979932673151,0.71883526632356,0.5343298614925448,-0.12769336389875327,-0.37308740289814185,0.3327867011826898
1.69,0.6104363821015462,0.6988456498934564,0.5344940368388135,-0.12756273400582216,-0.3764784974100506,0.33534354138285416
1.7,0.6335377865570617,0.7139796498821653,0.5346578017467164,-0.12852671870046367,-0.3785677970665441,0.33905622235179456
1.71,0.6076076609955327,0.6726663747391346,0.5348211572423496,-0.1310918191225387,-0.38134654597363066,0.33563298724384605
1.72,0.5875001914728338,0.7431548136836774,0.5349841043492437,-0.13416041748770985,-0.3842400017919609,0.3403718998246829
1.73,0.6154331619116702,0.6428495035519245,0.5351466440883706,-0.13437546395863376,-0.386364266879627,0.3364320079246667
1.74,0.6555828360291373,0.7318356771949937,0.5353087774781498,-0.1347567069752676,-0.38855320915004543,0.34660501914526065
1.75,0.5903007308743167,0.6733114105300161,0.5354705055344544,-0.1365074367361759,-0.3904738176830143,0.3383466459359653
1.76,0.6283800384671537,0.7284268977932834,0.5356318292706183,-0.1365754250529192,-0.39204388873434465,0.3455883751650467
1.77,0.5933913217166316,0.7511994223169448,0.5357927496974417,-0.13689061499986563,-0.39637672406796554,0.34551402722314745
1.78,0.6070602227981862,0.6707659201156315,0.5359532678231981,-0.13718204245728027,-0.39819014022115684,0.34175326831499964
1.79,0.6365786916150303,0.676592178536442,0.5361133846536401,-0.13763218588342327,-0.4009655319245776,0.34529499145335074
1.8,0.6064941029164742,0.6875858800336736,0.536273101192006,-0.13755895299947626,-0.40268832469431787,0.34421421039121647
1.81,0.6281000995201534,0.6452223147420858,0.536432418439026,-0.13882461841345425,-0.4041968359002649,0.3436574068853074
1.82,0.6159920687525571,0.6440227787901308,0.5365913373929284,-0.13795221566334237,-0.4071623737822478,0.34327757508052725
1.83,0.6190257856953713,0.7182096375221245,0.536749859049446,-0.13875030545197134,-0.4075207065262638,0.34902756081666547
1.84,0.6353418236471557,0.6618903321389639,0.5369079844018224,-0.13791094319004352,-0.41125477993356885,0.3471035169148182
1.85,0.664178323486306,0.6929305878093354,0.5370657144408179,-0.13807660596463217,-0.41276461288593613,0.35209235633090563
1.86,0.5764522993647805,0.7031604659281743,0.5372230501547158,-0.13907623235562194,-0.41563321333307185,0.3469258498089628
1.87,0.5911810159601175,0.673515875529666,0.537379992529329,-0.13755274967608797,-0.41689997981481686,0.34606224116128126
1.8800000000000001,0.6280895049122532,0.6847756473304274,0.5375365425480056,-0.1387374427279139,-0.4202237999135834,0.3509332014487823
1.8900000000000001,0.7103321140822428,0.6816189535292541,0.5376927011916356,-0.14094657258320858,-0.42245582737082293,0.3583587987875434
1.9000000000000001,0.637524351184698,0.677016655876126,0.5378484694386565,-0.14161297052688931,-0.4247816143931583,0.3531762406680007
1.9100000000000001,0.6725127290228889,0.669654463804395,0.5380038482650599,-0.1428892988473251,-0.4268410629727293,0.35625457582180586
1.92,0.5761211059023729,0.6979131771244849,0.5381588386443972,-0.1442292797931737,-0.4296745436945288,0.3518980665846887
1.93,0.6120163217966987,0.706029461973495,0.5383134415477862,-0.14543373957284178,-0.4329513387292093,0.35657930499732593
1.94,0.6738528466966175,0.7058306969222458,0.5384676579439167,-0.14531185924491566,-0.436200620536189,0.3624722502328218
1.95,0.6677488322185393,0.6681901174899652,0.5386214887990569,-0.14582207830838362,-0.43952769729429153,0.36015542029798486
1.96,0.6212489017411228,0.6584478068191724,0.5387749350770593,-0.14687288913997512,-0.44253865138650866,0.35702491706581796
1.97,0.626237445201822,0.6643031700374631,0.5389279977393666,-0.14972127638230606,-0.4447142237066262,0.3592273260842506
1.98,0.6280222865434256,0.6969933498987078,0.5390806777450182,-0.14946321281417885,-0.448083334820327,0.3626104644464987
1.99,0.6503166216318468,0.6837908200747691,0.5392329760506557,-0.1500806372621882,-0.45254951966648793,0.36484446708901475
2.0,0.6406375453956143,0.6745447652543818,0.539384893610529,-0.1526320757437738,-0.45692430971754977,0.3653350738929636
2.0100000000000002,0.6281418930484313,0.6889030247020981,0.5395364313765026,-0.15423050598977806,-0.4595551696237453,0.3665987341136069
2.02,0.6502813906116093,0.7050180328283082,0.5396875902980613,-0.15598004150777414,-0.4616657301985368,0.3706888149692815
2.0300000000000002,0.7161088212461042,0.6915417369318568,0.5398383713223162,-0.1565152992863563,-0.46557037984646465,0.3762536843181573
2.04,0.5911122061267627,0.6712431573033424,0.5399887753940104,-0.15895063451162725,-0.46887327747489277,0.36638922821203673
2.05,0.6039910907368544,0.6747756030148014,0.5401388034555253,-0.15941248578019152,-0.47217377426805607,0.3687089190454557
2.06,0.604162570951759,0.6938589023592598,0.5402884564468865,-0.1601572265658272,-0.4735049985262314,0.3706636009133918
2.07,0.6189714675762382,0.7266742130434656,0.5404377353057693,-0.1627152501015533,-0.47664214043224434,0.3758574911018952
2.08,0.6051953874922628,0.693114146307981,0.5405866409675049,-0.1646250846589136,-0.4782779626970045,0.3733200235244461
2.09,0.5526141024612733,0.6583293924567509,0.5407351743650861,-0.16482031677638673,-0.48136126235773674,0.3677631042690127
2.1,0.6350246151876965,0.6426660195547675,0.5408833364291734,-0.164984804936611,-0.4839687409796875,0.373724515825294
2.11,0.6002692443698607,0.6717868600649871,0.5410311280881005,-0.1652619536198694,-0.48635587824465565,0.373921883045499
2.12,0.5658548743717202,0.712384937822447,0.5411785502678802,-0.16636369314025592,-0.49058371872440654,0.3754204072827435
2.13,0.5811098489420616,0.6167256746215525,0.5413256038922105,-0.16610179933493152,-0.49301319401240046,0.3708158910546687
2.14,0.5838670715065908,0.7217809974611421,0.54147228988248,-0.16797639856493293,-0.49530997017966827,0.37939431583830474
2.15,0.5785694658380078,0.6949203461907796,0.5416186091577738,-0.1693957667047375,-0.4976317971337786,0.37818962166379577
2.16,0.6058437622372222,0.7153881005161375,0.5417645626348794,-0.16862652795103103,-0.500601843697178,0.3825240329794548
2.17,0.6548809291208953,0.6713394898513785,0.5419101512282922,-0.1695087867339866,-0.5040868976820896,0.3845172919899582
2.18,0.6305875046601774,0.6792225086040283,0.5420553758502215,-0.1712907458141702,-0.5079100871146021,0.38478468339122157
2.19,0.6077567504185989,0.6904118219376864,0.5422002374105959,-0.1734618035558157,-0.5103609859338358,0.3850842765310443
2.2,0.6650779748303361,0.6532209171094499,0.5423447368170694,-0.17413449064634082,-0.5121929517574939,0.3875731313456793
2.21,0.6018870919613712,0.7183314783930643,0.5424888749750267,-0.17413756403762332,-0.5146503769291438,0.3880433200001793
2.22,0.605409971623558,0.6756665225788435,0.5426326527875892,-0.17679003040007862,-0.5179038649936576,0.38697750294726474
2.23,0.594329672123144,0.7299639937294472,0.5427760711556202,-0.17725483728948213,-0.521848328632249,0.3911977688564305
2.24,0.6129906896305336,0.7327850060242159,0.5429191309777311,-0.17754889974564175,-0.5239378703674089,0.3937269486544695
2.25,0.6366866292216324,0.6552311686379616,0.5430618331502868,-0.17754156312729918,-0.5272419604943406,0.3908710930657911
2.2600000000000002,0.5738576988321441,0.6763146819587449,0.5432041785674111,-0.17832894755117648,-0.5302514217892885,0.38851492163689255
2.27,0.5972053177102924,0.6755479730468663,0.5433461681209926,-0.1785187635603486,-0.533124675430584,0.3912297227124883
2.2800000000000002,0.6856492206687718,0.6937636466914056,0.5434878027006901,-0.17875646383852015,-0.5357875479364036,0.4007176636823035
2.29,0.5884557599334503,0.6596925824339328,0.5436290831939383,-0.1786297257390292,-0.5373981410581249,0.3907016628394234
2.3000000000000003,0.6291783471304482,0.6666962565622225,0.5437700104859535,-0.1784805277785682,-0.5397378438085808,0.39507491321425314
2.31,0.6143107527489415,0.6818807005200276,0.5439105854597387,-0.179487208420634,-0.5413459588241957,0.3957720088852214
2.32,0.619659553513637,0.6548939183185305,0.5440508089960894,-0.18113854968120913,-0.5439958997859118,0.3954597304639032
2.33,0.6131968229515073,0.6763457827072941,0.5441906819735991,-0.18393439533498684,-0.5453687651184704,0.39774112456613164
2.34,0.5993407722868318,0.718411632688099,0.5443302052686652,-0.18400225383720306,-0.5490765617088648,0.4007441770458031
2.35,0.6254276434255714,0.673911832638504,0.5444693797554935,-0.18662716357107068,-0.5515363793165695,0.40113474832694823
2.36,0.6246536337545744,0.65703727718371,0.5446082063061047,-0.18786213996743045,-0.5529912835686464,0.40059822374937176
2.37,0.6475904768400704,0.7351844488734945,0.5447466857903395,-0.1879883787502432,-0.5548256052814365,0.4090939129006577
2.38,0.6928921108148814,0.682631938684205,0.5448848190758636,-0.18931771343176282,-0.5577645333026561,0.4099733727611511
2.39,0.6105022362682089,0.6886899902581954,0.545022607028174,-0.19116982769390953,-0.5609127262662575,0.4050955247648542
2.4,0.6679278463779624,0.702357850682689,0.5451600505106036,-0.1920167755759615,-0.5623823942695524,0.41166405842545684
2.41,0.6695697941544966,0.6889463046327579,0.545297150384327,-0.19281357735600577,-0.5665435509244483,0.41217391289882965
2.42,0.6273796448619682,0.6510464155099134,0.5454339075083662,-0.19405823326023697,-0.5696382317640475,0.4070600635295567
2.43,0.5857579258424052,0.6481292898060157,0.5455703227395953,-0.1954120024771412,-0.5689737531994231,0.403803918386241
2.44,0.625204492465223,0.7040649038523779,0.5457063969327463,-0.19433251352821615,-0.5705904327437712,0.4112842962280847
2.45,0.5750854252508366,0.7419775607804029,0.5458421309404143,-0.19452299404608517,-0.5728958488799066,0.4103937723299736
2.46,0.6149495175082581,0.6492314568078562,0.5459775256130633,-0.19673183345776832,-0.5748074596612146,0.40828648297479886
2.47,0.5953178542073768,0.7415047027125273,0.5461125817990307,-0.19805293006853586,-0.5768743649200233,0.414394687682006
2.48,0.6431456657050997,0.6722836501603561,0.5462473003445331,-0.2007358067304705,-0.579515213550411,0.4148627556003618
2.49,0.6247128024862142,0.7202000930585261,0.5463816820936718,-0.20123802692810416,-0.5840231851719856,0.4184722051720825
2.5,0.5603988214630883,0.6741951686083728,0.5465157278884376,-0.2027996334720038,-0.5860153628367494,0.41077396927279153
2.5100000000000002,0.6338617593648237,0.6811677870893249,0.5466494385687165,-0.20379078633757572,-0.5880874407877885,0.4182284564757444
2.52,0.6475986771976705,0.651692818602481,0.5467828149722948,-0.2049862134735742,-0.5938861305186792,0.41910323606234634
2.5300000000000002,0.5578554685662047,0.6708580832660935,0.546915857934864,-0.20603809199224987,-0.5951162963538167,0.4139772522164504
2.54,0.6451330208344723,0.7133278424399455,0.5470485682900268,-0.20513586716343118,-0.5977107162707139,0.4249523542424282
2.5500000000000003,0.5536338074272102,0.7112151000261117,0.5471809468693017,-0.20501394288926245,-0.6003442093581287,0.4176044693712513
2.56,0.6007736596386059,0.6816001037288318,0.5473129945021284,-0.20601657776785526,-0.6028156637263156,0.4205507746877226
2.57,0.617323946718253,0.6679494188526337,0.5474447120158731,-0.2087176400613787,-0.6049858575509194,0.4223400538097619
2.58,0.625477593090408,0.6517525668799226,0.5475761002358334,-0.20769167083897241,-0.6066652760540235,0.4219759873067619
2.59,0.6158093267496242,0.7056276247567559,0.5477071599852438,-0.20859932615121646,-0.6089596250293084,0.4262124331004463
2.6,0.6588811350444101,0.7025100862912357,0.5478378920852807,-0.2089123268271508,-0.6126036943028067,0.43086123329852255
2.61,0.6448675892128131,0.7048348742186951,0.5479682973550675,-0.2099636507278141,-0.6129707043486387,0.430271446767601
2.62,0.6234945117411219,0.6798567327747806,0.5480983766116798,-0.2106891962677841,-0.6134024493164449,0.42687586723506343
2.63,0.6372423393701337,0.7276300133529476,0.5482281306701506,-0.20995395924052412,-0.6159251165761744,0.43229236731314474
