time_h,D,E,C,H_e,M_t
1.16,0.8254224446914012,0.6559625131445718,0.5261482104290786,0.2609871290796662,0.11852504539638807
1.17,0.8343446284155376,0.6909166331691519,0.5290189169802416,0.2668336560154506,0.11933477319969543
1.18,0.8431784411203639,0.7129825468179964,0.5448692098802499,0.272690949577231,0.12014835797688007
1.19,0.8519222062707199,0.7002583315469215,0.5022288327679545,0.2784722448953947,0.12094128484261157
1.2,0.860574306373313,0.6932063103784248,0.49683202858691,0.284428253635287,0.12172564110855741
1.21,0.8691331824184564,0.7211286792792397,0.5059020408258333,0.29108642088155395,0.12251196427026725
1.22,0.8775973333030048,0.7416581369135726,0.5338745327190602,0.2967386221980345,0.12330555836932075
1.23,0.8859653152356498,0.7178790405134204,0.524937593266146,0.3026802211775497,0.12408583346576992
1.24,0.8942357411257034,0.7421109000744052,0.48881396535412625,0.30871959087117096,0.12485487434788645
1.25,0.9024072799564545,0.7330590804212584,0.49792265391110835,0.31513667494817016,0.12561888834952623
1.26,0.9104786561441488,0.7044175817970454,0.47687088402681366,0.32124455968154897,0.12636598076832253
1.27,0.9184486488836022,0.7231815853307177,0.465040990500433,0.3276332465398704,0.12710747748338697
1.28,0.926316091481425,0.7502068985777728,0.5382152973505612,0.3335771912103,0.12786981350180676
1.29,0.9340798706777986,0.6984198427837072,0.47907433494048335,0.3400892248295264,0.12859956098389597
1.3,0.9417389259577156,0.7014917519402646,0.49800495394910477,0.3468384990657131,0.129328930529218
1.31,0.9492922488525507,0.7154370483022238,0.4935977259054753,0.35380375280061915,0.13005359037205663
1.32,0.9567388822328157,0.6823693763964933,0.5103951542740863,0.3605202766746306,0.13077054592697676
1.33,0.9640779195929055,0.727816865824626,0.49694712296201693,0.367256795419139,0.13148663902852875
1.34,0.9713085043286175,0.7487569693316108,0.5175457181884783,0.3738349486638036,0.1322066520253799
1.35,0.9784298290081996,0.736834899363554,0.4568389960705557,0.3807719956083065,0.13290188503020442
1.36,0.9854411346376534,0.7052138736616782,0.4578882937642698,0.3876337556533395,0.13358637631332274
1.37,0.9923417099209842,0.6943579550444983,0.44478734411361304,0.39539544963327894,0.1342593966225657
1.3800000000000001,0.9991308905160764,0.745748767579355,0.45370807710142685,0.4020611700258277,0.13493737204672143
1.3900000000000001,1.005808058286833,0.7573633938059435,0.45694462828366544,0.4090621358429314,0.1356122853928089
1.4000000000000001,1.0123726405522004,0.7688393387673006,0.42958668020242075,0.4160714044672702,0.13627587751529588
1.41,1.018824109332677,0.7416012087530356,0.4324322911096401,0.4233382545999002,0.13693024370095502
1.42,1.0251619805948728,0.7137909151825425,0.47079525873459827,0.43078802729876037,0.13758391044122903
1.43,1.0313858134946687,0.7546255111210983,0.45869302966583336,0.4381451007671343,0.1382351395884269
1.44,1.0374952096195067,0.7346557401629292,0.48176914662415726,0.44534574898304474,0.1388832761000421
1.45,1.0434898122303071,0.7192069634621719,0.4276448837488814,0.45247887500600803,0.13951013358253955
1.46,1.049369305503505,0.779348243479394,0.4615171105193545,0.46028683793865166,0.1401483617999976
1.47,1.05513341377366,0.722265541057625,0.4357097544352184,0.46782840803183584,0.14076573625071837
1.48,1.0607819007770916,0.7774498215975585,0.4627890661564262,0.47511541349939784,0.14139239789961566
1.49,1.066314568896954,0.7390847679332263,0.40971119946341034,0.48253623179166544,0.14199475919121624
1.5,1.0717312584101664,0.770101526283711,0.48640772466976095,0.49011363964594507,0.14261472846986928
1.51,1.077031846736577,0.7767699082999536,0.44654514399013084,0.4978180041399799,0.14321979322281372
1.52,1.0822162476907335,0.7790154923198979,0.49172095947850075,0.5054333436586721,0.14383082975485875
1.53,1.087284410736619,0.7562083522552197,0.46129669448333377,0.5130056430659875,0.1444251796196349
1.54,1.092236320245677,0.7830030472884377,0.47240052082883577,0.5206582469091598,0.14502054638787135
1.55,1.0970719947584573,0.7345544189703166,0.4696065222636555,0.5281762297108031,0.1456025310629163
1.56,1.1017914862501834,0.7292844194245666,0.4544294887853629,0.5362102986335235,0.1461745220575038
1.57,1.1063948794005314,0.7519273954083612,0.4472398375492824,0.5436964290896885,0.1467426594168142
